sexo,idade,altura,peso,historico_obesidade_familia,consome_comida_calorica,consome_vegetais,n_refeicoes,come_entre_refeicoes,fuma,consumo_diario_agua,frequencia_atividade_fisica,tempo_usando_eletronicos,consumo_alcool,tipo_transporte
M,21.027662,1.726774,82.853749,sim,sim,2.265973,2.687502,as vezes,nao,2.0,2.21722,0.648522,as vezes,transporte publico
F,20.0,1.66,,sim,nao,3.0,3.0,as vezes,nao,2.0,1.0,0.0,as vezes,andando
M,21.011124,1.856315,118.183797,sim,sim,2.0,3.0,as vezes,nao,3.0,0.788585,1.220029,as vezes,transporte publico
M,22.976188,1.825718,121.236915,sim,sim,2.397284,,as vezes,nao,1.983973,1.859667,0.0026,as vezes,transporte publico
M,23.0,1.89,65.0,sim,sim,3.0,3.0,frequentemente,nao,3.0,1.0,1.0,as vezes,transporte publico
M,21.793724,1.75463,89.068227,sim,sim,2.0,2.041558,as vezes,nao,2.38725,0.813917,,as vezes,transporte publico
F,42.586285,,81.918809,sim,sim,2.522183,1.326982,as vezes,nao,1.872673,1.048507,0.0,nao,carro
F,21.012569,1.758628,78.370039,sim,sim,3.0,1.0,as vezes,nao,2.0,2.971832,0.0,as vezes,transporte publico
M,17.491272,1.834637,,sim,sim,2.943749,4.0,as vezes,nao,2.0,2.0,0.128895,nao,carro
F,21.391371,1.730636,131.902591,sim,sim,3.0,3.0,as vezes,nao,1.419136,1.700889,0.930888,as vezes,transporte publico
F,26.0,1.643332,110.824698,sim,sim,3.0,3.0,as vezes,nao,2.709654,0.0,,as vezes,transporte publico
M,20.338815,1.698829,98.572753,sim,sim,2.0,2.392811,as vezes,nao,2.0,0.0,,nao,transporte publico
,18.372563,1.589829,40.202773,nao,sim,2.0,1.075553,as vezes,nao,1.0,0.127425,1.679442,as vezes,transporte publico
,26.0,1.648143,111.950113,sim,sim,3.0,3.0,as vezes,nao,2.786417,0.0,0.079673,as vezes,transporte publico
F,23.712641,1.742901,132.8071,sim,sim,3.0,3.0,as vezes,nao,2.856795,1.046463,0.586163,as vezes,transporte publico
F,18.985119,1.759117,80.0,sim,sim,2.0,1.411808,as vezes,nao,2.651194,2.878414,0.953841,nao,transporte publico
F,18.094079,1.723328,50.0,nao,sim,1.052699,3.998618,frequentemente,nao,1.0,2.0,1.0,as vezes,transporte publico
M,28.712995,1.665585,98.66176,sim,sim,2.95801,2.834253,as vezes,nao,1.0,1.999886,0.0,nao,transporte publico
M,19.993154,1.762073,55.511075,sim,sim,2.0,4.0,as vezes,,2.542415,2.0,1.807465,,carro
M,26.699317,1.839941,119.956651,sim,,2.244654,3.0,as vezes,nao,2.795752,0.839481,0.0,as vezes,transporte publico
,26.680376,1.812259,118.277657,sim,sim,2.239634,3.0,as vezes,nao,2.684264,0.979306,0.0,as vezes,transporte publico
M,20.9859,1.780503,103.189532,sim,sim,2.0,3.0,as vezes,nao,1.608128,0.478134,0.0,nao,transporte publico
M,22.740275,1.717288,75.948164,sim,sim,2.0,3.0,as vezes,nao,2.0,0.0,2.0,as vezes,transporte publico
M,25.0,1.7,83.0,sim,sim,2.0,3.0,frequentemente,nao,2.0,0.0,1.0,as vezes,transporte publico
M,22.758998,1.859717,121.284533,sim,sim,2.654076,2.574108,as vezes,nao,1.78471,1.170537,0.0,as vezes,transporte publico
F,23.0,1.66,,sim,nao,2.0,3.0,as vezes,nao,2.0,3.0,0.0,as vezes,transporte publico
F,45.0,1.675953,79.66832,sim,sim,2.598051,3.0,as vezes,nao,1.0,0.0,0.0,nao,carro
F,23.455303,1.677672,114.470482,sim,sim,3.0,3.0,as vezes,nao,2.426094,0.294763,0.737226,as vezes,transporte publico
M,26.015448,1.829907,105.436173,sim,sim,3.0,3.0,as vezes,nao,2.224914,1.781589,1.59405,as vezes,transporte publico
M,25.509034,1.77219,114.097656,sim,sim,2.19331,3.0,as vezes,nao,2.089983,1.360994,0.857438,as vezes,transporte publico
F,19.0,1.53,42.0,nao,nao,2.0,3.0,,nao,1.0,2.0,0.0,frequentemente,transporte publico
M,18.0,1.7,60.0,nao,sim,2.0,,as vezes,nao,2.0,2.0,1.0,nao,transporte publico
M,40.366238,1.722396,109.349025,sim,sim,2.281963,3.770379,as vezes,nao,1.0,1.330519,0.0,nao,carro
F,25.113537,1.505387,63.715219,sim,nao,2.0,,as vezes,nao,1.846441,0.546402,0.235711,nao,transporte publico
F,19.483036,1.53777,42.0,nao,sim,3.0,1.0,frequentemente,nao,1.387531,0.0,0.466169,as vezes,transporte publico
M,18.011718,1.680991,79.752916,sim,sim,2.413156,2.521546,,nao,1.985312,0.00705,,as vezes,transporte publico
M,23.0,1.67,85.5,sim,sim,2.0,3.0,sempre,nao,2.0,0.0,1.0,nao,transporte publico
F,37.471683,1.549812,,sim,sim,2.0,2.765213,as vezes,nao,,1.350001,0.0,as vezes,carro
M,,1.840708,98.259423,sim,,2.333503,1.820779,as vezes,nao,2.559265,1.327193,0.481357,as vezes,carro
M,32.867331,1.697421,103.017623,sim,sim,,2.175153,as vezes,nao,1.0,1.985536,0.0,nao,transporte publico
M,39.656559,1.789992,98.021766,sim,sim,2.043359,2.209314,as vezes,nao,2.785804,1.259613,0.669616,as vezes,carro
F,20.0,1.61,64.0,sim,nao,3.0,3.0,sempre,nao,2.0,0.0,1.0,frequentemente,transporte publico
M,18.0,1.65,70.0,sim,nao,2.0,3.0,as vezes,nao,2.0,,0.0,nao,transporte publico
F,23.0,1.6,78.0,sim,sim,2.0,1.0,as vezes,sim,2.0,1.0,0.0,frequentemente,transporte publico
F,25.934757,1.579893,102.134646,sim,sim,3.0,3.0,as vezes,nao,1.005864,0.02006,0.695838,,transporte publico
F,18.270434,1.737165,76.699774,sim,sim,2.838969,3.0,as vezes,nao,2.425927,1.0,1.453335,frequentemente,transporte publico
M,24.000307,1.607939,100.618239,sim,sim,2.877743,1.311797,as vezes,nao,,0.182249,1.4312,nao,transporte publico
,26.0,1.640535,111.555967,sim,sim,3.0,3.0,as vezes,nao,2.634342,0.0,,as vezes,transporte publico
M,18.88485,1.699667,79.67793,sim,nao,2.735297,2.157164,as vezes,nao,1.087166,0.110174,0.003695,nao,transporte publico
F,38.683794,1.501993,,,sim,2.0,3.0,as vezes,nao,1.0,0.0,0.0,as vezes,carro
F,31.0,1.62,68.0,nao,nao,3.0,3.0,as vezes,nao,2.0,1.0,0.0,as vezes,carro
M,19.0,1.8,85.0,sim,sim,3.0,3.0,as vezes,nao,2.0,1.0,1.0,as vezes,andando
F,16.611837,1.830068,43.534531,nao,sim,2.945967,3.0,as vezes,nao,2.953192,2.830911,1.466667,as vezes,transporte publico
F,25.902283,1.669701,104.585783,sim,sim,3.0,3.0,as vezes,nao,1.570188,0.210351,0.881848,as vezes,transporte publico
M,19.089595,1.700164,99.204695,,sim,2.0,2.119826,as vezes,nao,2.0,0.0,1.882539,nao,transporte publico
M,18.0,1.782722,108.044313,sim,sim,2.0,2.655265,as vezes,nao,2.297896,1.0,0.552665,nao,transporte publico
F,26.0,1.641918,111.86899,,sim,3.0,3.0,as vezes,nao,2.635454,0.0,0.088309,as vezes,transporte publico
F,30.0,1.62,59.0,sim,sim,3.0,3.0,as vezes,nao,2.0,2.0,0.0,as vezes,
M,,1.780791,102.921218,sim,sim,2.0,3.0,as vezes,nao,1.613829,1.251665,0.0,as vezes,transporte publico
F,19.376997,1.600264,45.0,nao,nao,3.0,3.0,frequentemente,nao,2.949419,1.295697,0.0,as vezes,transporte publico
M,27.0,1.7,78.0,,sim,3.0,3.0,as vezes,nao,3.0,1.0,1.0,frequentemente,transporte publico
F,19.084967,1.768435,49.597765,nao,sim,3.0,3.725797,as vezes,nao,1.191401,2.0,1.0,as vezes,transporte publico
M,,1.840708,98.259423,sim,,2.333503,1.820779,as vezes,nao,2.559265,1.327193,0.481357,as vezes,carro
M,34.821442,1.805459,90.13868,sim,sim,2.0,1.80993,as vezes,nao,2.174835,,0.020153,as vezes,carro
M,18.0,1.751278,86.963628,sim,nao,3.0,3.0,as vezes,nao,2.0,1.271667,0.155278,as vezes,transporte publico
M,27.0,1.93,102.0,,sim,2.0,1.0,as vezes,nao,1.0,1.0,0.0,as vezes,transporte publico
F,19.045357,1.61291,82.193405,sim,sim,1.261288,2.930044,as vezes,nao,1.166655,0.133398,0.95174,nao,transporte publico
M,17.0,1.62,69.0,sim,sim,3.0,1.0,sempre,nao,2.0,1.0,2.0,as vezes,transporte publico
M,23.0,1.791867,90.0,sim,sim,2.067817,3.0,as vezes,nao,1.082084,0.0,1.922364,as vezes,transporte publico
F,21.0,1.62,64.0,sim,nao,2.0,3.0,as vezes,nao,2.0,0.0,1.0,nao,transporte publico
M,23.0,1.65,,sim,nao,2.0,,as vezes,nao,2.0,0.0,0.0,nao,transporte publico
F,19.88036,1.670635,49.742931,nao,nao,2.88626,3.559841,frequentemente,nao,1.632004,2.0,1.0,as vezes,transporte publico
M,19.034033,1.703098,98.296651,sim,sim,2.0,2.391753,as vezes,nao,2.0,0.0,1.119877,nao,transporte publico
M,34.432669,1.694997,84.451423,sim,sim,,2.693646,as vezes,nao,2.60669,1.170823,0.290898,nao,carro
M,18.011718,1.680991,79.752916,sim,sim,2.413156,2.521546,,nao,1.985312,0.00705,,as vezes,transporte publico
F,18.0,1.704193,50.631889,nao,sim,2.0,3.0,as vezes,nao,2.0,0.0,1.525597,as vezes,transporte publico
F,25.783865,1.643111,109.910012,sim,sim,3.0,3.0,as vezes,nao,1.530992,0.01586,0.445495,as vezes,transporte publico
M,18.0,1.93,86.0,nao,nao,3.0,4.0,sempre,nao,2.0,2.0,0.0,as vezes,andando
M,20.0,1.83,66.0,nao,nao,2.0,,as vezes,nao,2.0,1.0,1.0,nao,transporte publico
F,42.31607,,81.936398,sim,sim,2.490507,2.974204,as vezes,nao,1.846754,,0.0,nao,carro
M,17.758315,1.854162,59.881316,sim,sim,2.966126,3.96981,as vezes,nao,2.0,2.000088,0.378619,nao,carro
F,19.783234,1.747962,133.936535,sim,sim,3.0,,as vezes,nao,2.84174,,0.775378,as vezes,transporte publico
M,22.758998,1.859717,121.284533,sim,sim,2.654076,2.574108,as vezes,nao,1.78471,1.170537,0.0,as vezes,transporte publico
M,29.509151,1.770663,112.471118,sim,sim,2.303041,3.0,as vezes,nao,2.065817,,0.725222,as vezes,carro
F,22.998709,1.740108,53.65727,sim,sim,2.241606,3.0,frequentemente,nao,1.846626,2.460238,0.814518,nao,
M,25.057878,1.763987,113.069667,sim,sim,1.412566,3.0,as vezes,nao,2.002495,1.592795,0.001867,as vezes,transporte publico
M,25.486521,1.762461,115.531622,sim,sim,2.178308,3.0,as vezes,,2.165804,1.420675,1.875683,as vezes,transporte publico
F,25.902283,1.669701,104.585783,sim,sim,3.0,3.0,as vezes,nao,1.570188,0.210351,0.881848,as vezes,transporte publico
M,23.411141,1.755142,119.192922,sim,sim,2.007845,2.954446,as vezes,nao,1.968796,1.587406,0.838947,as vezes,transporte publico
M,21.0,1.693628,75.0,sim,sim,2.0,3.0,as vezes,nao,1.833055,1.0,0.0,,transporte publico
M,22.906342,1.755902,120.021161,sim,sim,2.971574,2.80742,as vezes,nao,1.962646,1.583832,0.504816,as vezes,transporte publico
F,18.297229,1.637396,70.0,sim,sim,2.0,1.999014,as vezes,nao,2.326165,0.00705,0.0,nao,transporte publico
M,22.0,1.75,74.0,sim,nao,2.0,3.0,as vezes,nao,2.0,1.0,2.0,as vezes,bicicleta
F,25.0,1.56,45.0,nao,sim,,3.0,as vezes,nao,1.0,0.0,0.0,as vezes,transporte publico
M,18.0,1.750097,86.372141,sim,sim,2.907062,3.0,as vezes,nao,2.740848,1.219827,0.037634,as vezes,transporte publico
M,30.350516,1.860292,123.721352,sim,sim,2.002784,3.0,as vezes,nao,2.292906,1.034031,0.0,as vezes,carro
F,21.0,1.69,63.0,nao,sim,3.0,1.0,as vezes,nao,1.0,0.0,0.0,as vezes,transporte publico
F,18.233541,1.792378,137.859737,sim,sim,3.0,3.0,as vezes,nao,2.838893,1.990317,0.735868,as vezes,transporte publico
F,19.0,,49.0,sim,sim,2.0,1.0,nao,nao,2.0,2.0,0.0,nao,transporte publico
M,17.0,1.72,62.0,nao,sim,2.0,3.0,sempre,nao,2.0,3.0,1.0,nao,transporte publico
F,26.0,1.659557,111.999096,sim,,3.0,3.0,as vezes,nao,2.956548,0.0,0.010056,as vezes,transporte publico
M,21.0,1.714253,75.0,sim,sim,2.0,3.0,as vezes,nao,1.081597,1.0,0.0,as vezes,transporte publico
M,24.05331,1.872561,121.471077,sim,sim,2.808027,2.683061,as vezes,nao,2.640483,1.280191,0.0,as vezes,transporte publico
F,18.367481,1.745644,133.665587,sim,sim,3.0,,as vezes,nao,2.900857,1.508897,0.625371,,transporte publico
F,21.0,1.52,56.0,sim,nao,3.0,3.0,as vezes,sim,3.0,3.0,0.0,,transporte publico
F,37.455752,1.508908,63.183846,sim,sim,2.048582,1.047197,as vezes,nao,2.0,0.15136,0.22596,as vezes,carro
F,19.0,1.76,79.349221,sim,sim,2.0,1.893811,as vezes,nao,3.0,1.376229,1.801322,nao,transporte publico
M,29.981494,1.773181,112.348722,sim,sim,1.947495,3.0,as vezes,nao,2.042073,0.0,0.618087,as vezes,carro
M,21.0,1.617469,,nao,sim,1.206276,,nao,nao,2.406541,0.94984,0.479221,as vezes,transporte publico
F,21.0,1.618148,68.981403,sim,sim,1.142468,3.0,nao,nao,2.197732,0.827506,0.572877,as vezes,transporte publico
F,23.0,1.5,55.0,sim,sim,3.0,3.0,as vezes,nao,2.0,1.0,0.0,as vezes,moto
M,19.556729,1.767563,56.307019,sim,sim,2.362918,4.0,as vezes,nao,2.358172,2.0,0.939819,nao,carro
M,19.749627,1.680764,79.621463,sim,nao,1.83746,3.0,as vezes,,2.0,1.194519,1.212762,nao,transporte publico
F,38.464538,1.696423,78.967919,sim,sim,3.0,3.0,as vezes,nao,2.981604,,0.0,nao,carro
F,21.768153,1.76416,133.888629,sim,sim,3.0,3.0,as vezes,nao,2.32502,1.441791,0.918468,as vezes,transporte publico
F,20.0,1.56,51.5,,sim,2.0,3.0,frequentemente,nao,2.0,3.0,0.0,as vezes,transporte publico
F,32.997118,1.672446,74.812707,sim,sim,2.948425,1.198643,as vezes,nao,1.0,0.0,0.173796,as vezes,carro
M,30.976932,,118.237782,sim,sim,2.938616,3.0,as vezes,nao,2.06039,0.371508,1.333559,as vezes,carro
M,31.347497,1.868127,123.172214,sim,sim,2.585942,3.0,as vezes,nao,2.302506,0.597863,0.111925,as vezes,transporte publico
F,39.965474,1.739293,80.914382,nao,sim,2.416044,3.196043,as vezes,nao,1.352649,0.148628,1.08266,as vezes,carro
M,23.47007,1.842906,121.142535,sim,sim,3.0,2.701689,as vezes,nao,2.738485,0.992253,0.0,as vezes,transporte publico
F,19.0,1.5,50.0,nao,sim,2.0,3.0,frequentemente,nao,1.0,0.0,2.0,as vezes,transporte publico
,24.0,1.77,76.0,nao,nao,2.0,3.0,as vezes,nao,3.0,1.0,1.0,as vezes,andando
F,18.0,1.6,83.0,sim,sim,2.0,3.0,as vezes,nao,2.0,1.0,0.0,nao,transporte publico
M,23.0,1.89,65.0,sim,sim,3.0,3.0,frequentemente,nao,3.0,1.0,1.0,as vezes,transporte publico
F,43.591999,1.595165,77.354744,sim,sim,2.0,3.0,as vezes,nao,2.117346,0.0,0.0,nao,carro
F,16.928791,1.710948,45.248627,nao,sim,2.910733,3.12544,as vezes,nao,2.204263,2.407906,1.403037,as vezes,transporte publico
M,33.100581,1.838791,87.85785,nao,sim,2.814453,2.608055,as vezes,nao,1.85916,2.0,0.516084,nao,carro
F,16.270434,1.818268,47.124717,nao,sim,3.0,3.286431,as vezes,nao,2.148146,2.458237,1.273333,as vezes,transporte publico
M,19.16097,1.662728,77.473204,sim,nao,2.008656,1.402771,as vezes,nao,3.0,0.112383,0.32803,as vezes,transporte publico
M,30.108216,1.841908,124.070717,sim,sim,2.467548,3.0,as vezes,nao,2.66029,0.994422,0.310394,as vezes,transporte publico
M,24.481032,1.661277,90.744965,sim,sim,1.712848,3.0,as vezes,nao,1.162153,0.458981,0.885532,nao,carro
F,26.0,1.621245,111.267334,sim,sim,3.0,3.0,as vezes,nao,2.605685,0.0,0.199227,as vezes,transporte publico
F,34.389679,1.691322,77.561602,sim,sim,3.0,1.802305,as vezes,nao,2.0,0.390877,0.0,nao,carro
F,38.0,1.55,59.0,sim,nao,3.0,3.0,as vezes,nao,1.0,2.0,1.0,frequentemente,carro
M,36.726617,1.787521,100.624553,sim,sim,,2.992606,as vezes,nao,,2.00123,0.36037,frequentemente,carro
F,41.0,1.54,80.0,,sim,2.0,,sempre,nao,1.0,,0.0,as vezes,carro
F,23.0,1.63,83.0,sim,nao,3.0,1.0,as vezes,,3.0,1.0,,as vezes,transporte publico
M,21.142432,1.855353,86.413388,sim,sim,2.0,3.0,as vezes,nao,1.345298,1.097905,1.0,as vezes,transporte publico
F,20.206358,1.738397,93.890682,sim,sim,1.996638,3.0,as vezes,nao,1.033199,0.584793,0.518297,as vezes,transporte publico
F,22.865018,1.632118,82.0,sim,sim,2.587789,1.482103,as vezes,nao,1.911664,0.0,,as vezes,transporte publico
F,22.0,1.6,82.0,sim,sim,1.0,1.0,as vezes,nao,2.0,0.0,2.0,as vezes,transporte publico
M,32.867331,1.697421,103.017623,sim,sim,,2.175153,as vezes,nao,1.0,1.985536,0.0,nao,transporte publico
M,21.0,1.62,70.0,nao,sim,2.0,1.0,nao,nao,3.0,1.0,0.0,as vezes,transporte publico
F,42.337283,1.64639,86.639861,sim,sim,2.81646,2.27374,as vezes,,1.722063,0.0,0.0,nao,carro
M,29.883021,,112.438508,sim,sim,2.065752,3.0,as vezes,nao,2.078297,0.0,0.677354,as vezes,carro
M,26.945139,1.773259,118.154345,sim,nao,2.18354,3.0,as vezes,nao,2.277937,0.68183,0.0,as vezes,carro
M,23.0,,53.0,nao,sim,2.0,3.0,frequentemente,,1.0,3.0,2.0,nao,transporte publico
F,21.695892,1.755476,133.870501,sim,sim,3.0,3.0,as vezes,nao,,1.433151,0.911335,as vezes,transporte publico
F,25.777565,1.628205,107.378702,sim,sim,3.0,3.0,as vezes,nao,2.506631,0.025787,0.484165,as vezes,transporte publico
M,23.245408,1.707968,75.383716,sim,sim,2.5621,3.105007,as vezes,nao,1.172427,0.184917,0.923082,as vezes,transporte publico
F,24.063874,1.737313,133.166595,sim,sim,3.0,3.0,as vezes,nao,2.846259,1.295759,0.723154,,transporte publico
M,19.0,1.69,60.0,nao,sim,2.0,3.0,sempre,nao,1.0,1.0,1.0,as vezes,transporte publico
M,19.16097,1.662728,77.473204,sim,nao,2.008656,1.402771,as vezes,nao,3.0,0.112383,0.32803,as vezes,transporte publico
M,18.0,1.750097,86.372141,sim,sim,2.907062,3.0,as vezes,nao,2.740848,1.219827,0.037634,as vezes,transporte publico
F,37.0,1.5,75.0,sim,sim,2.0,3.0,frequentemente,nao,1.0,0.0,0.0,as vezes,moto
F,21.695892,1.755476,133.870501,sim,sim,3.0,3.0,as vezes,nao,,1.433151,0.911335,as vezes,transporte publico
M,28.986237,1.758618,113.501549,sim,sim,2.320201,3.0,as vezes,nao,2.164784,0.0,1.465479,as vezes,carro
F,37.441044,1.524293,76.202761,sim,sim,2.0,2.994046,as vezes,nao,1.603549,1.335857,0.0,as vezes,carro
,20.534089,1.861358,115.39792,sim,,2.0,3.0,as vezes,nao,3.0,0.987591,1.914531,as vezes,transporte publico
M,22.18881,1.717722,81.92991,sim,sim,2.0,1.152521,as vezes,nao,1.723159,1.39016,1.094941,as vezes,transporte publico
M,23.0,1.753716,106.49141,sim,sim,2.740633,3.0,as vezes,nao,2.081005,0.650235,0.76906,as vezes,transporte publico
M,17.0,1.75,70.0,sim,nao,2.0,3.0,as vezes,nao,1.0,3.0,2.0,as vezes,andando
M,30.577944,1.783953,,sim,sim,2.341999,3.0,as vezes,nao,2.299878,0.565242,,as vezes,carro
F,21.838323,1.758959,137.79299,sim,sim,3.0,3.0,as vezes,nao,2.640539,1.879818,0.885993,as vezes,transporte publico
M,18.0,1.82,80.0,sim,sim,2.0,3.0,as vezes,nao,2.0,3.0,2.0,nao,andando
M,17.0,1.7,98.0,sim,nao,2.0,3.0,as vezes,nao,2.0,0.0,1.0,as vezes,carro
F,19.529746,1.751038,133.843033,sim,sim,3.0,3.0,as vezes,nao,2.955075,1.46046,0.655558,as vezes,transporte publico
F,21.81119,1.6,66.401407,sim,sim,2.108711,3.0,as vezes,nao,2.746197,1.910432,0.0,as vezes,transporte publico
M,22.740275,1.717288,75.948164,sim,sim,2.0,3.0,as vezes,nao,2.0,0.0,2.0,as vezes,transporte publico
M,25.879411,1.765464,114.144378,sim,sim,1.626369,3.0,as vezes,nao,2.109697,1.352973,0.076693,as vezes,transporte publico
M,24.63474,1.829757,120.980508,sim,sim,2.644094,3.0,,nao,2.740525,2.0,0.500936,as vezes,transporte publico
M,17.080493,1.782756,56.029418,sim,sim,2.0,4.0,as vezes,nao,2.28525,2.0,1.162801,nao,carro
F,22.0,1.65,60.0,,sim,,3.0,as vezes,nao,2.0,,0.0,as vezes,carro
F,21.334585,1.729045,131.529267,sim,sim,,3.0,as vezes,nao,1.302193,,0.94232,as vezes,transporte publico
M,23.0,1.718981,81.66995,sim,sim,2.0,1.729553,as vezes,,1.400247,0.887923,1.011983,as vezes,transporte publico
F,25.930376,1.610086,102.38745,sim,sim,3.0,3.0,as vezes,nao,1.050564,0.026033,0.539074,as vezes,transporte publico
M,34.161998,1.705682,103.067766,sim,sim,2.562687,2.100918,as vezes,nao,,1.167856,0.412329,nao,transporte publico
M,20.0,1.65,58.0,nao,sim,2.0,3.0,as vezes,nao,,,1.0,as vezes,transporte publico
F,26.0,1.613574,107.012256,sim,sim,3.0,3.0,as vezes,nao,2.678779,0.0,0.508848,as vezes,transporte publico
M,18.0,1.73,70.0,nao,sim,3.0,3.0,frequentemente,nao,1.0,2.0,1.0,as vezes,transporte publico
F,19.724106,1.734832,50.0,nao,nao,1.123939,,frequentemente,nao,1.0,1.303976,0.371941,as vezes,transporte publico
M,29.0,1.682916,89.991671,sim,sim,1.851262,3.0,as vezes,nao,2.11267,0.388269,0.0,as vezes,carro
M,23.0,1.74,93.5,nao,sim,2.0,3.0,frequentemente,sim,1.0,1.0,1.0,frequentemente,carro
M,38.0,1.7,78.0,nao,sim,3.0,3.0,frequentemente,nao,2.0,0.0,0.0,frequentemente,carro
M,37.084742,1.75,118.07381,sim,sim,2.133964,3.0,as vezes,nao,2.008361,0.202029,0.200516,as vezes,carro
M,27.931432,1.805445,119.484614,sim,sim,2.911312,3.0,as vezes,nao,2.501808,0.94676,0.785701,as vezes,carro
M,21.0,1.712061,,sim,sim,2.0,3.0,as vezes,nao,1.333707,1.0,0.0,as vezes,transporte publico
M,25.492855,1.770124,114.163921,sim,,2.159033,3.0,as vezes,nao,2.116399,1.331526,0.052942,as vezes,
M,21.0,1.67,67.0,sim,sim,3.0,1.0,sempre,nao,2.0,1.0,1.0,nao,transporte publico
F,33.954433,1.682253,77.431678,sim,sim,3.0,2.049908,as vezes,nao,1.999882,1.637368,0.10724,nao,carro
M,22.719385,1.746645,96.875502,sim,sim,2.0,3.0,as vezes,nao,2.714091,2.64102,1.224737,nao,transporte publico
F,36.769646,1.55,62.337721,sim,sim,2.392665,3.0,as vezes,nao,2.951056,0.0,0.369134,as vezes,
F,26.0,1.65782,111.95611,sim,sim,3.0,3.0,as vezes,nao,2.777557,0.0,0.051858,as vezes,transporte publico
F,26.0,1.65,60.0,nao,nao,3.0,4.0,sempre,,2.0,2.0,0.0,nao,andando
F,18.0,1.57,,sim,sim,,1.0,sempre,nao,1.0,1.0,0.0,nao,transporte publico
M,18.0,1.6,58.0,sim,sim,2.0,3.0,frequentemente,nao,2.0,1.0,0.0,as vezes,transporte publico
M,22.0,1.75,95.0,sim,nao,2.0,3.0,as vezes,nao,3.0,,2.0,nao,
M,37.084742,1.75,118.07381,sim,sim,2.133964,3.0,as vezes,nao,2.008361,0.202029,0.200516,as vezes,carro
F,24.0,1.5,63.0,sim,nao,2.0,1.0,as vezes,,2.0,0.0,0.0,nao,transporte publico
F,33.0,1.56,48.0,sim,nao,2.0,3.0,as vezes,nao,2.0,1.0,,as vezes,transporte publico
F,38.384177,1.698626,78.637307,sim,sim,3.0,3.0,as vezes,nao,2.503198,0.0,0.0,nao,carro
F,18.595614,1.609495,42.656563,nao,sim,2.896562,2.625475,as vezes,nao,2.839558,1.949667,1.253311,nao,transporte publico
M,22.429812,1.64037,70.0,nao,sim,2.0,1.0,nao,nao,2.069184,0.729898,0.0,as vezes,transporte publico
F,25.612462,1.674515,112.879662,sim,sim,3.0,3.0,as vezes,nao,2.989389,0.36009,0.169016,as vezes,transporte publico
F,18.13782,1.819728,151.278532,sim,sim,3.0,3.0,as vezes,nao,,1.999836,0.94603,as vezes,transporte publico
M,25.057878,1.763987,113.069667,sim,sim,1.412566,3.0,as vezes,nao,2.002495,1.592795,0.001867,as vezes,transporte publico
F,18.301773,1.808765,140.292018,sim,sim,3.0,3.0,as vezes,nao,2.830247,1.783138,0.789064,as vezes,transporte publico
M,19.0,1.7,,sim,nao,2.0,3.0,frequentemente,nao,2.0,1.0,0.0,nao,transporte publico
F,17.0,1.7,85.0,sim,nao,2.0,3.0,frequentemente,,2.0,1.0,1.0,nao,transporte publico
M,18.0,1.87,,sim,sim,3.0,3.0,frequentemente,nao,3.0,1.0,1.0,as vezes,carro
M,34.288249,1.835678,96.01851,sim,sim,2.0,1.546665,as vezes,nao,3.0,1.0,0.0,as vezes,carro
F,18.0,1.62,68.0,nao,nao,2.0,1.0,as vezes,nao,,0.0,2.0,nao,transporte publico
F,22.524036,1.752206,133.689352,sim,sim,3.0,3.0,as vezes,nao,2.054193,1.414209,0.646288,as vezes,transporte publico
M,19.96247,1.756338,54.98234,sim,sim,2.277436,3.502604,as vezes,nao,2.891713,,1.894902,nao,transporte publico
F,25.962949,1.623812,109.996742,sim,sim,,3.0,as vezes,nao,2.395387,0.000272,0.461532,,transporte publico
F,18.423482,1.735461,126.798173,sim,sim,3.0,3.0,as vezes,nao,2.38639,1.544632,0.900067,as vezes,transporte publico
M,23.668137,1.777416,,sim,sim,2.0,3.0,as vezes,nao,3.0,3.0,2.0,nao,transporte publico
M,20.0,1.83,85.0,sim,nao,,3.0,as vezes,nao,3.0,3.0,0.0,as vezes,carro
F,22.176922,1.71746,51.491957,sim,sim,2.486189,3.0,frequentemente,nao,1.064378,2.206055,1.958089,nao,transporte publico
F,16.928791,1.710948,45.248627,nao,sim,2.910733,3.12544,as vezes,nao,2.204263,2.407906,1.403037,as vezes,transporte publico
F,22.667596,1.718939,75.951472,sim,sim,2.0,3.0,frequentemente,nao,2.0,0.0,2.0,as vezes,transporte publico
M,31.315593,1.673352,90.0,sim,sim,2.19011,2.029858,as vezes,nao,2.348981,1.946907,0.0,as vezes,carro
F,23.0,1.710182,50.287967,sim,sim,2.0,,frequentemente,nao,2.099863,1.63581,2.0,nao,transporte publico
F,26.0,1.633442,111.821817,sim,sim,3.0,3.0,as vezes,nao,2.550672,0.0,0.224655,as vezes,transporte publico
M,55.137881,1.657221,80.993213,sim,sim,2.0,3.0,as vezes,nao,2.0,1.0,0.0,nao,carro
M,35.389491,1.78,100.84763,sim,sim,2.069267,1.476204,as vezes,nao,3.0,,0.092736,frequentemente,carro
F,21.95994,1.483284,62.894283,sim,nao,2.0,1.680838,as vezes,nao,1.833635,0.281876,0.575848,nao,transporte publico
M,24.0,1.66,67.0,sim,sim,3.0,1.0,as vezes,nao,2.0,1.0,0.0,nao,transporte publico
M,18.0,1.799779,108.934574,sim,sim,2.0,1.194815,as vezes,nao,2.434832,1.0,1.541455,nao,
